date,station,pm25,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,month,day_of_year,day_of_week,is_weekend,is_smog_season,doy_sin,doy_cos,pm25_lag1,pm25_roll7
2023-01-02,Dha,109.3,15.9,66.8,1.69,0.0,1,2,0,0,1,0.03442161162274574,0.9994074007397048,127.1,127.1
2023-01-03,Dha,135.0,6.0,60.5,3.33,0.0,1,3,1,0,1,0.051619667223253764,0.998666816288476,109.3,118.19999999999999
2023-01-04,Dha,115.1,13.2,51.1,3.73,0.0,1,4,2,0,1,0.06880242680231986,0.9976303053065857,135.0,123.8
2023-01-05,Dha,145.5,9.0,68.2,1.91,0.0,1,5,3,0,1,0.08596479873744647,0.9962981749346078,115.1,121.625
2023-01-06,Dha,120.4,9.3,57.7,1.92,1.7,1,6,4,0,1,0.10310169744743485,0.9946708199115211,145.5,126.4
2023-01-07,Dha,112.8,13.6,56.9,1.09,0.0,1,7,5,1,1,0.1202080448993527,0.9927487224577402,120.4,125.39999999999999
2023-01-08,Dha,123.7,9.1,62.6,3.28,0.0,1,8,6,1,1,0.13727877211326478,0.9905324521322229,112.8,123.6
2023-01-09,Dha,141.6,10.3,59.4,0.58,0.0,1,9,0,0,1,0.15430882066428117,0.9880226656636976,123.7,123.11428571428571
2023-01-11,Dha,125.7,9.8,54.2,2.97,0.0,1,11,2,0,1,0.1882267098432442,0.9821256058680006,141.6,127.72857142857143
2023-01-12,Dha,131.7,11.5,57.8,4.06,0.0,1,12,3,0,1,0.2051044998686192,0.9787400799669153,125.7,126.39999999999999
2023-01-13,Dha,132.5,14.1,49.8,1.07,0.0,1,13,4,0,1,0.2219215130041655,0.9750645322571948,131.7,128.77142857142857
2023-01-14,Dha,133.9,15.9,60.8,1.5,0.0,1,14,5,1,1,0.2386727660059501,0.9711000518829505,132.5,126.91428571428571
2023-01-15,Dha,134.8,13.9,64.6,0.95,0.0,1,15,6,1,1,0.255353295116187,0.9668478136052775,133.9,128.84285714285713
2023-01-16,Dha,137.1,15.0,66.7,3.65,0.0,1,16,0,0,1,0.2719581575341055,0.9623090774541486,134.8,131.9857142857143
2023-01-17,Dha,109.9,11.2,60.25,4.33,4.9,1,17,1,0,1,0.288482432880609,0.9574851883550393,137.1,133.9
2023-01-18,Dha,119.3,10.4,53.8,5.6,0.0,1,18,2,0,1,0.30492122465628907,0.9523775757303974,109.9,129.37142857142857
2023-01-20,Dha,128.6,12.3,48.2,1.08,0.2,1,20,4,0,1,0.3375228995941133,0.9413173175128471,119.3,128.45714285714286
2023-01-21,Dha,109.2,16.0,47.0,3.02,0.0,1,21,5,1,1,0.3536761221763716,0.9353679493131483,128.6,128.0142857142857
2023-01-22,Dha,129.0,12.5,40.0,0.17,0.0,1,22,6,1,1,0.3697245428906731,0.9291414114031743,109.2,124.6857142857143
2023-01-23,Dha,64.1,16.6,57.4,8.96,0.0,1,23,0,0,1,0.38566340624360707,0.9226395488404876,129.0,123.9857142857143
2023-01-24,Dha,117.8,10.7,53.0,1.35,0.0,1,24,1,0,1,0.401487989205973,0.9158642882672872,64.1,113.88571428571427
2023-01-25,Dha,113.6,11.1,42.2,4.4,0.0,1,25,2,0,1,0.4171936026123168,0.9088176373395029,117.8,111.12857142857142
2023-01-27,Dha,102.8,14.7,47.4,4.36,0.0,1,27,4,0,1,0.4482293417404106,0.893918596519257,113.6,111.65714285714284
2023-01-28,Dha,115.6,16.4,46.5,4.44,0.0,1,28,5,1,1,0.4635502709028509,0.886070621534138,102.8,109.3
2023-01-29,Dha,98.1,13.1,57.1,8.56,0.0,1,29,6,1,1,0.47873384011578846,0.8779600847008882,115.6,107.44285714285714
2023-01-30,Dha,129.8,16.2,46.4,0.24,0.0,1,30,0,0,1,0.4937755501599772,0.869589389346611,98.1,105.85714285714285
2023-01-31,Dha,122.1,11.3,49.7,3.44,0.4,1,31,1,0,1,0.5086709438521044,0.8609610158889943,129.8,105.97142857142858
2023-02-01,Dha,99.9,10.2,53.0,4.66,0.0,2,32,2,0,1,0.5234156073655503,0.8520775211013093,122.1,114.25714285714285
