date,station,pm25,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm
2024-06-04,Walled City,85.6,38.2,29.5,1.62,0.0
2023-01-08,Johar Town,126.2,16.6,48.3,3.68,0.0
2024-08-02,DHA,32.3,36.0,55.9,2.13,1.5
2024-08-26,Gulberg,53.6,30.8,54.9,1.25,1.7
2024-07-18, Gulberg ,34.1,39.4,57.9,3.23,1.3
2024-05-02,Gulberg,104.3,30.9,36.4,0.68,0.0
2024-10-12,Township,110.8,25.0,81.9,4.56,0.0
2023-07-19,DHA,12.2,36.6,55.8,1.9,4.0
2024-11-01,DHA,102.5,17.6,61.4,2.72,0.0
2024-02-17,Gulberg,157.7,17.0,,0.74,0.0
2023-08-12,Walled City,67.9,30.9,69.3,3.72,0.0
2023-12-25,Gulberg,148.7,7.5,67.8,4.19,0.0
2024-06-11,Walled City,59.3,37.0,52.4,4.72,0.0
2023-05-03,Walled City,74.9,28.5,29.8,4.27,0.0
2023-08-02,Johar Town,26.7,31.9,64.8,3.29,2.6
2023-04-05,Walled City,103.7,19.5,35.7,4.35,0.0
2024-02-02,Walled City,163.6,11.1,51.6,4.03,0.0
2024-12-08,Gulberg,131.0,14.8,53.1,0.24,0.0
2024-10-06,Township,,30.7,76.5,1.55,0.0
2024-04-09,Walled City,132.6,19.3,36.6,0.56,0.0
2023-08-31,Walled City,54.0,32.7,60.4,5.39,3.4
2024-02-08,Walled City,175.7,11.5,39.3,1.56,0.0
2024-08-13, DHA ,39.6,33.3,73.0,6.79,0.0
2024-12-17,Walled City,152.9,11.4,70.9,4.19,0.9
2023-11-22,Gulberg,131.4,16.6,78.1,3.29,0.4
2023-12-27,Gulberg,164.5,12.0,58.8,0.26,0.0
2023-09-04,Township,24.1,30.0,61.1,2.83,19.7
2024-04-30,Walled City,99.9,28.5,36.1,0.72,0.0
2023-02-02,Walled City,165.8,14.9,52.3,3.8,0.0
2023-01-14,JOHAR TOWN,117.8,15.1,48.8,1.12,0.0
2024-09-17,Walled City,78.6,32.0,82.6,6.65,0.0
2023-02-21,Gulberg,118.4,19.6,46.8,4.83,0.0
2023-12-01,Johar Town,134.0,16.8,62.9,2.9,0.0
2024-10-14,Gulberg,89.2,22.7,68.3,2.55,0.0
2024-01-14,Walled City,176.1,15.7,58.3,3.56,0.0
2023-03-24,Walled City,138.7,18.4,47.5,1.13,0.0
2023-04-20,Gulberg,79.5,28.6,40.1,3.69,0.0
2023-03-04, DHA ,84.6,17.9,29.6,5.3,0.0
2024-04-09,Township,96.9,24.1,27.5,1.44,0.0
2024-09-27,Walled City,92.7,28.2,74.6,4.15,0.0
2024-02-25,Gulberg,137.6,16.5,32.1,1.85,0.0
2024-09-09,DHA,,28.0,64.8,1.79,0.0
2023-07-01,Gulberg,8.0,37.6,61.2,6.92,8.5
2024-07-13,DHA,28.0,32.8,53.7,2.03,1.9
2024-02-22,Johar Town,91.8,13.5,42.1,6.78,0.0
2024-02-28,Johar Town,110.8,17.5,30.3,1.4,0.0
2024-12-27, DHA ,150.0,14.3,61.6,1.37,0.0
2024-07-21,Township,55.3,37.7,36.9,4.68,1.1
2023-10-29,Township,124.9,20.1,79.2,5.02,0.0
2024-04-09,Township,96.9,24.1,27.5,1.44,0.0
2024-10-03,Walled City,148.0,24.7,83.1,1.21,0.0
2023-01-18,Township,,14.5,62.0,3.37,0.0
2023-10-11,DHA,52.7,21.1,63.3,2.26,0.0
2023-06-14,Township,34.2,40.5,41.6,5.88,0.9
2023-03-17,Gulberg,102.9,17.1,45.3,7.64,0.0
2024-03-16,Township,141.9,15.8,44.3,1.8,0.0
2024-08-31,Walled City,93.7,33.7,74.5,4.54,0.0
2024-06-16,Township,38.7,37.0,51.7,6.27,4.2
2023-06-09,Walled City,80.2,34.7,41.3,0.12,2.7
2024-02-21,Gulberg,131.5,12.1,48.1,2.91,0.1
2024-04-02,Township,130.5,16.6,35.8,2.87,0.0
2024-05-16,Johar Town,49.6,32.1,40.5,5.34,0.0
2024-02-05,Gulberg,134.0,16.9,49.3,2.33,0.0
2024-07-28,Township,44.4,34.8,56.3,3.06,0.0
2023-09-25,Gulberg,75.2,25.6,64.8,1.68,1.2
2023-09-23,Walled City,63.0,28.6,77.7,11.34,0.0
2024-05-17,Johar Town,61.9,30.3,24.8,3.14,0.0
2023-06-29,Johar Town,33.2,36.2,51.2,3.31,0.0
2024-07-25,DHA,8.0,35.9,59.0,10.39,0.0
2024-01-19,DHA,151.3,15.3,63.0,1.9,0.6
2023-06-24,Johar Town,8.0,37.2,35.4,6.33,0.0
2023-04-20,Johar Town,69.0,32.3,36.2,3.19,1.5
2024-02-18,Township,147.2,18.6,41.9,0.95,0.0
2024-06-16,Walled City,14.0,36.8,42.5,12.49,0.0
2023-07-31,Walled City,62.4,36.3,65.1,1.38,0.0
2023-04-07,DHA,70.6,22.4,28.4,3.41,0.0
2023-08-06,Johar Town,8.0,33.1,59.8,5.69,0.0
2024-10-12,Johar Town,107.8,27.7,82.0,0.8,0.0
2023-06-17,Township,27.7,34.6,59.7,2.47,17.0
2023-06-18,Walled City,46.5,33.9,57.0,2.92,0.0
